experiment,model,filter,workers,width,height,seconds
size_sweep,mpi,sobel,8,256,256,0.000360
size_sweep,mpi,sharpen,8,256,256,0.000221
size_sweep,mpi,grayscale,8,256,256,0.001069
size_sweep,sequential,gaussian_blur,1,512,512,0.003418
size_sweep,sequential,sobel,1,512,512,0.002081
size_sweep,sequential,sharpen,1,512,512,0.000491
size_sweep,sequential,grayscale,1,512,512,0.001004
size_sweep,pthreads,gaussian_blur,8,512,512,0.002904
size_sweep,pthreads,sobel,8,512,512,0.001447
size_sweep,pthreads,sharpen,8,512,512,0.001458
size_sweep,pthreads,grayscale,8,512,512,0.001356
size_sweep,openmp,gaussian_blur,8,512,512,0.000575
size_sweep,openmp,sobel,8,512,512,0.000496
size_sweep,openmp,sharpen,8,512,512,0.000110
size_sweep,openmp,grayscale,8,512,512,0.000265
size_sweep,mpi,gaussian_blur,8,512,512,0.000927
size_sweep,mpi,sobel,8,512,512,0.000854
size_sweep,mpi,sharpen,8,512,512,0.000303
size_sweep,mpi,grayscale,8,512,512,0.012151
size_sweep,sequential,gaussian_blur,1,1024,1024,0.019745
size_sweep,sequential,sobel,1,1024,1024,0.012772
size_sweep,sequential,sharpen,1,1024,1024,0.002522
size_sweep,sequential,grayscale,1,1024,1024,0.008987
size_sweep,pthreads,gaussian_blur,8,1024,1024,0.021464
size_sweep,pthreads,sobel,8,1024,1024,0.006647
size_sweep,pthreads,sharpen,8,1024,1024,0.004948
size_sweep,pthreads,grayscale,8,1024,1024,0.004334
size_sweep,openmp,gaussian_blur,8,1024,1024,0.012476
size_sweep,openmp,sobel,8,1024,1024,0.002325
size_sweep,openmp,sharpen,8,1024,1024,0.000468
size_sweep,openmp,grayscale,8,1024,1024,0.005745
size_sweep,mpi,gaussian_blur,8,1024,1024,0.014627
size_sweep,mpi,sobel,8,1024,1024,0.030265
size_sweep,mpi,sharpen,8,1024,1024,0.007685
size_sweep,mpi,grayscale,8,1024,1024,0.010005
size_sweep,sequential,gaussian_blur,1,1920,1080,0.023387
size_sweep,sequential,sobel,1,1920,1080,0.016288
size_sweep,sequential,sharpen,1,1920,1080,0.004023
size_sweep,sequential,grayscale,1,1920,1080,0.009414
size_sweep,pthreads,gaussian_blur,8,1920,1080,0.024493
size_sweep,pthreads,sobel,8,1920,1080,0.009266
size_sweep,pthreads,sharpen,8,1920,1080,0.006061
size_sweep,pthreads,grayscale,8,1920,1080,0.005995
size_sweep,openmp,gaussian_blur,8,1920,1080,0.005328
size_sweep,openmp,sobel,8,1920,1080,0.010347
size_sweep,openmp,sharpen,8,1920,1080,0.004992
size_sweep,openmp,grayscale,8,1920,1080,0.008636
size_sweep,mpi,gaussian_blur,8,1920,1080,0.020706
size_sweep,mpi,sobel,8,1920,1080,0.018189
size_sweep,mpi,sharpen,8,1920,1080,0.018044
size_sweep,mpi,grayscale,8,1920,1080,0.017317
size_sweep,sequential,gaussian_blur,1,2560,1440,0.047200
size_sweep,sequential,sobel,1,2560,1440,0.029276
size_sweep,sequential,sharpen,1,2560,1440,0.006982
size_sweep,sequential,grayscale,1,2560,1440,0.014092
size_sweep,pthreads,gaussian_blur,8,2560,1440,0.034749
size_sweep,pthreads,sobel,8,2560,1440,0.013131
size_sweep,pthreads,sharpen,8,2560,1440,0.008856
size_sweep,pthreads,grayscale,8,2560,1440,0.007346
size_sweep,openmp,gaussian_blur,8,2560,1440,0.010586
size_sweep,openmp,sobel,8,2560,1440,0.006552
size_sweep,openmp,sharpen,8,2560,1440,0.001303
size_sweep,openmp,grayscale,8,2560,1440,0.003742
size_sweep,mpi,gaussian_blur,8,2560,1440,0.033080
size_sweep,mpi,sobel,8,2560,1440,0.032292
size_sweep,mpi,sharpen,8,2560,1440,0.004942
size_sweep,mpi,grayscale,8,2560,1440,0.022365
size_sweep,sequential,gaussian_blur,1,3840,2160,0.120753
size_sweep,sequential,sobel,1,3840,2160,0.073703
size_sweep,sequential,sharpen,1,3840,2160,0.017595
size_sweep,sequential,grayscale,1,3840,2160,0.033061
size_sweep,pthreads,gaussian_blur,8,3840,2160,0.076268
size_sweep,pthreads,sobel,8,3840,2160,0.040468
size_sweep,pthreads,sharpen,8,3840,2160,0.025708
size_sweep,pthreads,grayscale,8,3840,2160,0.017730
size_sweep,openmp,gaussian_blur,8,3840,2160,0.023117
size_sweep,openmp,sobel,8,3840,2160,0.028619
size_sweep,openmp,sharpen,8,3840,2160,0.003243
size_sweep,openmp,grayscale,8,3840,2160,0.017999
size_sweep,mpi,gaussian_blur,8,3840,2160,0.050749
size_sweep,mpi,sobel,8,3840,2160,0.042300
size_sweep,mpi,sharpen,8,3840,2160,0.017047
size_sweep,mpi,grayscale,8,3840,2160,0.018815
size_sweep,sequential,gaussian_blur,1,5760,3240,0.146794
size_sweep,sequential,sobel,1,5760,3240,0.106669
size_sweep,sequential,sharpen,1,5760,3240,0.026642
size_sweep,sequential,grayscale,1,5760,3240,0.078432
size_sweep,pthreads,gaussian_blur,8,5760,3240,0.152029
size_sweep,pthreads,sobel,8,5760,3240,0.056704
size_sweep,pthreads,sharpen,8,5760,3240,0.037061
size_sweep,pthreads,grayscale,8,5760,3240,0.035779
